fase,regiao,tipo,hp_inimigo,atk_inimigo,def_inimigo,ouro,xp,pc_esperado_heroi,custo_upgrade_forca,drop_comum_pct,drop_rara_pct,drop_lendaria_pct
1,Bosque de Vidro Negro,normal,47.7,7.14,2.2,15.5,9.78,1249,25,55,12,1.6
2,Bosque de Vidro Negro,normal,54.1,7.84,2.4,17.3,10.63,1278,27,55,12,1.6
3,Bosque de Vidro Negro,normal,61.5,8.62,2.6,19.2,11.55,1307,28,55,12,1.6
4,Bosque de Vidro Negro,normal,69.8,9.46,2.8,21.3,12.55,1338,30,55,12,1.6
5,Bosque de Vidro Negro,miniboss,237.7,13.52,3.0,118.2,47.73,1369,32,55,12,1.6
6,Bosque de Vidro Negro,normal,89.9,11.42,3.3,26.3,14.82,1401,32,55,12,1.6
7,Bosque de Vidro Negro,normal,102.1,12.55,3.6,29.2,16.10,1433,34,55,12,1.6
8,Bosque de Vidro Negro,normal,115.9,13.78,3.9,32.4,17.50,1466,36,55,12,1.6
9,Bosque de Vidro Negro,normal,131.6,15.14,4.2,36.0,19.02,1499,39,55,12,1.6
10,Bosque de Vidro Negro,chefe,896.7,26.61,9.2,479.3,165.31,1533,41,0,32,7
11,Bosque de Vidro Negro,normal,169.7,18.27,5.0,44.4,22.46,1568,41,55,12,1.6
12,Bosque de Vidro Negro,normal,192.6,20.07,5.4,49.3,24.40,1604,44,55,12,1.6
13,Bosque de Vidro Negro,normal,218.7,22.04,5.9,54.7,26.52,1640,47,55,12,1.6
14,Bosque de Vidro Negro,normal,248.3,24.21,6.4,60.8,28.81,1676,50,55,12,1.6
15,Bosque de Vidro Negro,miniboss,845.7,34.58,7.0,337.3,109.59,1713,53,55,12,1.6
16,Bosque de Vidro Negro,normal,320.1,29.22,7.6,74.9,34.03,1751,53,55,12,1.6
17,Bosque de Vidro Negro,normal,363.4,32.09,8.2,83.2,36.97,1790,57,55,12,1.6
18,Bosque de Vidro Negro,normal,412.6,35.26,8.9,92.4,40.18,1829,60,55,12,1.6
19,Bosque de Vidro Negro,normal,468.4,38.73,9.7,102.6,43.66,1869,64,55,12,1.6
20,Bosque de Vidro Negro,chefe,3190.7,68.07,21.1,1367.6,379.56,1909,68,0,32,7
21,Bosque de Vidro Negro,normal,603.8,46.73,11.5,126.6,51.56,1950,68,55,12,1.6
22,Bosque de Vidro Negro,normal,685.5,51.33,12.5,140.6,56.03,1992,73,55,12,1.6
23,Bosque de Vidro Negro,normal,778.2,56.39,13.5,156.1,60.88,2034,78,55,12,1.6
24,Bosque de Vidro Negro,normal,883.5,61.94,14.7,173.3,66.16,2077,83,55,12,1.6
25,Bosque de Vidro Negro,miniboss,3009.4,88.46,16.0,962.5,251.62,2120,88,55,12,1.6
26,Bosque de Vidro Negro,normal,1138.9,74.74,17.4,213.8,78.12,2164,88,55,12,1.6
27,Bosque de Vidro Negro,normal,1293.0,82.11,18.9,237.4,84.89,2209,94,55,12,1.6
28,Bosque de Vidro Negro,normal,1468.0,90.19,20.5,263.6,92.25,2254,100,55,12,1.6
29,Bosque de Vidro Negro,normal,1666.7,99.08,22.3,292.8,100.25,2300,106,55,12,1.6
30,Bosque de Vidro Negro,chefe,11353.4,174.13,48.4,3901.8,871.49,2347,113,0,32,7
31,Bosque de Vidro Negro,normal,2148.3,119.55,26.3,361.1,118.38,2394,113,55,12,1.6
32,Bosque de Vidro Negro,normal,2439.1,131.33,28.6,401.0,128.64,2442,121,55,12,1.6
33,Bosque de Vidro Negro,normal,2769.2,144.26,31.1,445.3,139.79,2490,129,55,12,1.6
34,Bosque de Vidro Negro,normal,3143.9,158.47,33.8,494.6,151.90,2539,137,55,12,1.6
35,Bosque de Vidro Negro,miniboss,10708.2,226.30,36.7,2746.1,577.73,2589,146,55,12,1.6
36,Bosque de Vidro Negro,normal,4052.5,191.22,39.9,609.9,179.37,2639,146,55,12,1.6
37,Bosque de Vidro Negro,normal,4600.9,210.05,43.3,677.3,194.92,2690,155,55,12,1.6
38,Bosque de Vidro Negro,normal,5223.6,230.74,47.1,752.2,211.81,2742,165,55,12,1.6
39,Bosque de Vidro Negro,normal,5930.5,253.46,51.1,835.4,230.17,2794,176,55,12,1.6
40,Bosque de Vidro Negro,chefe,40398.8,445.48,111.2,11132.4,2000.96,2847,188,0,32,7
41,Bosque de Vidro Negro,normal,7644.4,305.85,60.4,1030.2,271.80,2900,188,55,12,1.6
42,Bosque de Vidro Negro,normal,8678.9,335.97,65.6,1144.1,295.35,2954,200,55,12,1.6
43,Bosque de Vidro Negro,normal,9853.5,369.06,71.3,1270.6,320.95,3009,213,55,12,1.6
44,Bosque de Vidro Negro,normal,11187.0,405.40,77.5,1411.0,348.77,3064,227,55,12,1.6
45,Bosque de Vidro Negro,miniboss,38103.0,578.93,84.2,7834.9,1326.49,3120,241,55,12,1.6
46,Bosque de Vidro Negro,normal,14419.9,489.19,91.5,1740.2,411.85,3177,241,55,12,1.6
47,Bosque de Vidro Negro,normal,16371.4,537.37,99.5,1932.5,447.54,3234,257,55,12,1.6
48,Bosque de Vidro Negro,normal,18587.0,590.29,108.1,2146.2,486.33,3292,274,55,12,1.6
49,Bosque de Vidro Negro,normal,21102.5,648.43,117.4,2383.4,528.48,3350,291,55,12,1.6
50,Bosque de Vidro Negro,chefe,143750.6,1139.67,255.2,31761.9,4594.26,3409,310,0,32,7
51,Bosque de Vidro Negro,normal,27200.9,782.44,138.7,2939.4,624.06,3469,310,55,12,1.6
52,Bosque de Vidro Negro,normal,30882.1,859.50,150.7,3264.3,678.14,3529,331,55,12,1.6
53,Bosque de Vidro Negro,normal,35061.6,944.15,163.8,3625.1,736.92,3590,352,55,12,1.6
54,Bosque de Vidro Negro,normal,39806.6,1037.14,178.0,4025.8,800.78,3651,375,55,12,1.6
55,Bosque de Vidro Negro,miniboss,135581.6,1481.07,193.4,22354.0,3045.66,3713,399,55,12,1.6
56,Bosque de Vidro Negro,normal,51310.2,1251.49,210.1,4965.0,945.61,3776,399,55,12,1.6
57,Bosque de Vidro Negro,normal,58254.3,1374.74,228.3,5513.8,1027.56,3840,425,55,12,1.6
58,Bosque de Vidro Negro,normal,66138.2,1510.14,248.1,6123.2,1116.62,3904,453,55,12,1.6
59,Bosque de Vidro Negro,normal,75089.0,1658.87,269.6,6800.1,1213.40,3968,482,55,12,1.6
60,Bosque de Vidro Negro,chefe,511507.1,2915.59,586.0,90620.5,10548.53,4033,514,0,32,7
61,Bosque de Vidro Negro,normal,96788.7,2001.71,318.4,8386.4,1432.85,4099,514,55,12,1.6
62,Bosque de Vidro Negro,normal,109887.6,2198.85,346.0,9313.4,1557.03,4166,547,55,12,1.6
63,Bosque de Vidro Negro,normal,124759.3,2415.41,376.0,10342.9,1691.98,4233,583,55,12,1.6
64,Bosque de Vidro Negro,normal,141643.7,2653.30,408.6,11486.1,1838.62,4301,621,55,12,1.6
65,Bosque de Vidro Negro,miniboss,482439.2,3789.00,444.0,63778.6,6992.91,4369,661,55,12,1.6
66,Bosque de Vidro Negro,normal,182576.8,3201.66,482.5,14165.7,2171.14,4438,661,55,12,1.6
67,Bosque de Vidro Negro,normal,207285.9,3516.98,524.3,15731.5,2359.31,4508,704,55,12,1.6
68,Bosque de Vidro Negro,normal,235339.0,3863.36,569.7,17470.3,2563.79,4578,750,55,12,1.6
69,Bosque de Vidro Negro,normal,267188.7,4243.85,619.1,19401.4,2786.00,4649,798,55,12,1.6
